pdbid,chain_to_remove
1IEP, B D
1OPJ, B D
2HYY,B C D F G H 
3PYY,B D
2GQG,B D F
4XEY,B D
3CS9,B C D F G H 
3UE4,B D F
4G5P,B
3OG7,B D
4XV2,B D F
5CSW,B D F
5HIE,B C D F G H J K L 
